小区编号,小区栋数,小区户数（户）,小区人口数（人）,小区横坐标,小区纵坐标,街道编号,所属区域,最近路口节点
1,11,1060,2417,57.9025000000009,62.1323333333332,C0035,宽城区,3147
2,37,4171,9080,51.7922500000019,61.6066666666673,C0048,宽城区,4525
3,3,480,1333,54.8022500000016,54.8809999999994,C0010,宽城区,6727
4,19,1093,2658,54.2157500000009,67.8423333333337,C0053,宽城区,8023
5,15,1330,3033,56.7305000000005,61.4793333333334,C0035,宽城区,3150
6,11,2546,5450,47.8217500000007,65.6379999999999,C0054,宽城区,7572
7,10,1365,3806,57.8710000000022,59.0090000000008,C0024,宽城区,6610
8,27,1996,4853,53.9115000000017,68.6316666666661,C0053,宽城区,8023
9,10,972,2002,54.8905000000026,67.5750000000003,C0034,宽城区,1092
10,20,762,2775,57.7405000000013,64.6423333333341,C0029,宽城区,6612
11,12,1415,3504,58.3552500000017,69.7093333333333,C0030,宽城区,1870
12,9,575,1184,54.7114999999998,61.394,C0034,宽城区,3152
13,5,624,2272,57.8122500000013,65.9596666666668,C0029,宽城区,1866
14,23,2167,5498,53.9822500000007,72.235333333334,C0056,宽城区,4616
15,16,711,2589,57.7500000000022,62.8986666666667,C0029,宽城区,6605
16,34,2403,8007,60.6930000000006,66.1620000000009,C0040,宽城区,7739
17,13,1309,2766,57.7760000000005,59.8536666666666,C0027,宽城区,6603
18,38,4237,8960,58.3402500000005,68.8910000000007,C0041,宽城区,1870
19,9,625,1548,58.5285000000013,66.3123333333336,C0030,宽城区,9573
20,25,1217,3395,58.4544999999999,58.3376666666666,C0024,宽城区,6610
21,7,415,1027,58.9427499999999,62.9830000000003,C0030,宽城区,7737
22,21,1578,3825,46.3572499999998,60.5233333333336,C0049,宽城区,7562
23,18,687,1566,57.6880000000024,63.8290000000007,C0035,宽城区,1864
24,17,775,1837,58.7832500000012,63.8556666666664,C0023,宽城区,1864
25,5,975,2176,53.8170000000022,56.4060000000003,C0019,宽城区,7729
26,3,1310,2900,63.415250000002,53.2693333333327,C0018,宽城区,1397
27,10,609,1290,52.5747500000016,62.800333333333,C0047,宽城区,3138
28,13,574,1361,58.7480000000014,64.5243333333336,C0023,宽城区,1865
29,13,964,2000,60.3477500000018,57.4190000000006,C0026,宽城区,3744
30,13,1691,4008,60.7765000000029,62.9056666666656,C0023,宽城区,6305
31,21,3174,6491,62.086500000003,49.1369999999994,C0058,宽城区,5557
32,3,295,673,56.6375000000008,60.8573333333335,C0035,宽城区,3150
33,11,1340,2831,59.8377499999998,62.9066666666679,C0027,宽城区,7737
34,13,1454,3075,59.6325000000029,65.776666666667,C0041,宽城区,7739
35,34,1868,4109,60.9169999999999,65.8056666666672,C0039,宽城区,7739
36,4,875,2009,57.3807500000001,50.3933333333322,C0006,宽城区,1145
37,20,1239,2766,48.2297500000009,64.2266666666676,C0051,宽城区,3059
38,17,967,2065,50.0002500000001,62.7279999999999,C0045,宽城区,3056
39,4,587,1383,53.6187500000018,56.0169999999995,C0020,宽城区,8694
40,33,1758,3924,55.0770000000007,60.0593333333327,C0019,宽城区,8342
41,9,1064,2654,59.885750000003,63.4889999999994,C0028,宽城区,7737
42,7,350,722,52.7995000000026,50.0903333333322,C0015,宽城区,4218
43,20,1336,2982,49.9330000000029,64.7716666666677,C0051,宽城区,6209
44,10,774,1722,52.3430000000005,65.1436666666664,C0043,宽城区,5023
45,3,256,812,55.0882500000007,59.0463333333323,C0033,宽城区,6195
46,29,2270,5371,61.1080000000008,51.8816666666666,C0022,宽城区,3983
47,14,1078,2238,50.7907500000009,63.6173333333332,C0042,宽城区,6204
48,10,1218,3719,58.6127500000018,50.521000000001,C0002,宽城区,1883
49,2,563,1963,59.2395000000003,54.916666666666,C0025,宽城区,5581
50,12,1677,3868,65.0430000000029,65.5423333333332,C0031,宽城区,7417
51,15,844,1982,63.6135000000024,60.0270000000004,C0037,宽城区,4260
52,7,552,1228,53.5702499999999,66.1513333333327,C0043,宽城区,5020
53,21,1250,3479,51.4260000000029,67.8490000000001,C0055,宽城区,9417
54,17,1233,3432,50.3230000000023,68.871333333334,C0055,宽城区,9418
